173,(주)셀라이온바이오메드,대전광역시 유성구,연구개발서비스      ,의학 및 약학 연구개발업,"바이오 의약 소재, 첨단화학소재  "
174,(주)바이엔,대전광역시 대덕구,"정보처리, S/W",응용 소프트웨어 개발 및 공급업,수질예측 시스템(SW)  
175,(주)에버정보기술,대전광역시 유성구,제조업              ,방송장비 제조업,산업용 이더넷 장비 영상감시 출입통제시스템 
176,(주)카보엑스퍼트,대전광역시 유성구,제조업              ,의약용 화합물 및 항생물질 제조업,고순도 말토덱스트린 수용성 다당체 
177,(주)씨에이티,대전광역시 유성구,기타                ,기타 엔지니어링 서비스업,항공기 구조해석 및 설계 복합재 설계 및 시험평가 
178,(주)셀라피바이오,대전광역시 유성구,제조업              ,화장품 제조업,화장품 원료  
179,(주)일리아스바이오로직스,대전광역시 유성구,연구개발서비스      ,의학 및 약학 연구개발업,엑소솜 기반 바이오의약품 연구개발  
180,(주)첸노,대전광역시 서구,제조업              ,방송장비 제조업,(방송광고용)방송통신장비 광고대행 
181,(주)씨앤지 마이크로웨이브,대전광역시 유성구,제조업              ,"전자기 측정, 시험 및 분석기구 제조업",안테나 측정시스템  
182,"(주)차메디텍 (CHA-Meditech Co., Ltd.)",대전광역시 유성구,제조업              ,의료용품 및 기타 의약 관련제품 제조업,성형필러 연구시약 
183,(주)창조에스티,대전광역시 중구,제조업              ,그 외 기타 금속가공업,분배중계기함  
184,미래기술,대전광역시 유성구,제조업              ,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",Vision 검사장비  
185,(주)진미식품,대전광역시 유성구,도소매업            ,기타 가공식품 도매업,"고추장,된장,간장 등  "
186,(주)켐옵틱스,대전광역시 유성구,제조업              ,그 외 기타 전자부품 제조업,"광감쇠기(VOA) 광스위치, 파장가변레이저 광트랜시버, 광전자재료"
187,(주)카이로켐,대전광역시 유성구,제조업              ,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,화학 첨가제  
188,(주)한나이엔지,대전광역시 대덕구,제조업              ,그 외 기타 특수목적용 기계 제조업,엣지코팅기  
189,(주)키오떼이앤씨,대전광역시 대덕구,제조업              ,가정용 비전기식 조리 및 난방 기구 제조업,가스레인지  
190,트리카이저,대전광역시 대덕구,제조업              ,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업",LED용 형광체 백색LED 
191,(주)청호시스템,대전광역시 유성구,제조업              ,배전반 및 전기 자동제어반 제조업,"자동제어반, 인버터반, 배전반  "
